id,order_id,order_channel,order_ahead
168,ORD_00000168,"Mobile App",False
169,ORD_00000169,"In-Store Cashier",False
170,ORD_00000170,Drive-Thru,False
171,ORD_00000171,"Mobile App",False
172,ORD_00000172,"In-Store Cashier",False
173,ORD_00000173,Drive-Thru,False
174,ORD_00000174,"In-Store Cashier",False
175,ORD_00000175,"Mobile App",True
176,ORD_00000176,"Mobile App",True
177,ORD_00000177,Drive-Thru,False
178,ORD_00000178,Drive-Thru,False
179,ORD_00000179,"In-Store Cashier",False
180,ORD_00000180,"Mobile App",False
181,ORD_00000181,"In-Store Cashier",False
182,ORD_00000182,Drive-Thru,False
183,ORD_00000183,"Mobile App",False
184,ORD_00000184,"Mobile App",True
185,ORD_00000185,"Mobile App",False
186,ORD_00000186,Drive-Thru,False
187,ORD_00000187,Drive-Thru,False
188,ORD_00000188,Drive-Thru,False
189,ORD_00000189,Drive-Thru,False
190,ORD_00000190,"Mobile App",False
191,ORD_00000191,Drive-Thru,False
192,ORD_00000192,"In-Store Cashier",False
193,ORD_00000193,Drive-Thru,False
194,ORD_00000194,"Mobile App",True
195,ORD_00000195,"Mobile App",True
196,ORD_00000196,Drive-Thru,False
197,ORD_00000197,"Mobile App",False
198,ORD_00000198,"Mobile App",False
199,ORD_00000199,"Mobile App",False
200,ORD_00000200,"Mobile App",True
201,ORD_00000201,Kiosk,False
202,ORD_00000202,Drive-Thru,False
203,ORD_00000203,"Mobile App",True
204,ORD_00000204,"In-Store Cashier",False
205,ORD_00000205,Drive-Thru,False
206,ORD_00000206,"In-Store Cashier",False
207,ORD_00000207,"Mobile App",True
208,ORD_00000208,Drive-Thru,False
209,ORD_00000209,"Mobile App",True
210,ORD_00000210,"Mobile App",True
211,ORD_00000211,"Mobile App",True
212,ORD_00000212,Kiosk,False
213,ORD_00000213,"Mobile App",True
214,ORD_00000214,Drive-Thru,False
215,ORD_00000215,"Mobile App",True
216,ORD_00000216,"In-Store Cashier",False
217,ORD_00000217,Drive-Thru,False
218,ORD_00000218,Drive-Thru,False
219,ORD_00000219,"In-Store Cashier",False
220,ORD_00000220,"Mobile App",True
221,ORD_00000221,Kiosk,False
222,ORD_00000222,Drive-Thru,False
223,ORD_00000223,"Mobile App",True
224,ORD_00000224,Drive-Thru,False
225,ORD_00000225,"Mobile App",True
226,ORD_00000226,"In-Store Cashier",False
227,ORD_00000227,Drive-Thru,False
228,ORD_00000228,"In-Store Cashier",False
229,ORD_00000229,Drive-Thru,False
230,ORD_00000230,"Mobile App",True
231,ORD_00000231,"Mobile App",True
232,ORD_00000232,"Mobile App",True
233,ORD_00000233,Drive-Thru,False
234,ORD_00000234,"Mobile App",True
235,ORD_00000235,"Mobile App",True
236,ORD_00000236,Drive-Thru,False
237,ORD_00000237,"In-Store Cashier",False
238,ORD_00000238,"In-Store Cashier",False
239,ORD_00000239,"In-Store Cashier",False
240,ORD_00000240,"Mobile App",True
241,ORD_00000241,Kiosk,False
242,ORD_00000242,Drive-Thru,False
243,ORD_00000243,"Mobile App",True
244,ORD_00000244,"Mobile App",True
245,ORD_00000245,"Mobile App",False
246,ORD_00000246,"In-Store Cashier",False
247,ORD_00000247,"Mobile App",True
248,ORD_00000248,"In-Store Cashier",False
249,ORD_00000249,"In-Store Cashier",False
250,ORD_00000250,"In-Store Cashier",False
251,ORD_00000251,Drive-Thru,False
252,ORD_00000252,"In-Store Cashier",False
253,ORD_00000253,Drive-Thru,False
254,ORD_00000254,"In-Store Cashier",False
255,ORD_00000255,"Mobile App",True
256,ORD_00000256,"Mobile App",False
257,ORD_00000257,"Mobile App",True
258,ORD_00000258,Drive-Thru,False
259,ORD_00000259,"Mobile App",True
260,ORD_00000260,"In-Store Cashier",False
261,ORD_00000261,"In-Store Cashier",False
262,ORD_00000262,Drive-Thru,False
263,ORD_00000263,"In-Store Cashier",False
264,ORD_00000264,Drive-Thru,False
265,ORD_00000265,"Mobile App",True
266,ORD_00000266,Drive-Thru,False
267,ORD_00000267,Kiosk,False
268,ORD_00000268,"Mobile App",True
269,ORD_00000269,"Mobile App",True
270,ORD_00000270,Drive-Thru,False
271,ORD_00000271,Drive-Thru,False
272,ORD_00000272,"Mobile App",False
273,ORD_00000273,"In-Store Cashier",False
274,ORD_00000274,Drive-Thru,False
275,ORD_00000275,"Mobile App",True
276,ORD_00000276,"Mobile App",False
277,ORD_00000277,Drive-Thru,False
278,ORD_00000278,"Mobile App",True
279,ORD_00000279,Drive-Thru,False
280,ORD_00000280,"Mobile App",True
281,ORD_00000281,Drive-Thru,False
282,ORD_00000282,Kiosk,False
283,ORD_00000283,"Mobile App",True
284,ORD_00000284,Drive-Thru,False
285,ORD_00000285,Drive-Thru,False
286,ORD_00000286,Drive-Thru,False
287,ORD_00000287,Drive-Thru,False
288,ORD_00000288,Drive-Thru,False
289,ORD_00000289,"Mobile App",True
290,ORD_00000290,"In-Store Cashier",False
291,ORD_00000291,Drive-Thru,False
292,ORD_00000292,Drive-Thru,False
293,ORD_00000293,Drive-Thru,False
294,ORD_00000294,"Mobile App",True
295,ORD_00000295,"Mobile App",True
296,ORD_00000296,"Mobile App",True
297,ORD_00000297,"In-Store Cashier",False
298,ORD_00000298,Kiosk,False
299,ORD_00000299,"Mobile App",False
300,ORD_00000300,Drive-Thru,False
301,ORD_00000301,"Mobile App",True
302,ORD_00000302,Drive-Thru,False
303,ORD_00000303,"Mobile App",True
304,ORD_00000304,"In-Store Cashier",False
305,ORD_00000305,"In-Store Cashier",False
306,ORD_00000306,Drive-Thru,False
307,ORD_00000307,Drive-Thru,False
308,ORD_00000308,"In-Store Cashier",False
309,ORD_00000309,"In-Store Cashier",False
310,ORD_00000310,Drive-Thru,False
311,ORD_00000311,"In-Store Cashier",False
312,ORD_00000312,"Mobile App",True
313,ORD_00000313,"In-Store Cashier",False
314,ORD_00000314,Drive-Thru,False
315,ORD_00000315,Drive-Thru,False
316,ORD_00000316,"Mobile App",True
317,ORD_00000317,"In-Store Cashier",False
318,ORD_00000318,Drive-Thru,False
319,ORD_00000319,"Mobile App",True
320,ORD_00000320,"Mobile App",True
321,ORD_00000321,"Mobile App",False
322,ORD_00000322,Drive-Thru,False
323,ORD_00000323,Drive-Thru,False
324,ORD_00000324,"Mobile App",True
325,ORD_00000325,"Mobile App",True
326,ORD_00000326,Drive-Thru,False
327,ORD_00000327,"Mobile App",True
328,ORD_00000328,Drive-Thru,False
329,ORD_00000329,"In-Store Cashier",False
330,ORD_00000330,Drive-Thru,False
331,ORD_00000331,Drive-Thru,False
332,ORD_00000332,"Mobile App",True
333,ORD_00000333,"In-Store Cashier",False
334,ORD_00000334,"Mobile App",True
335,ORD_00000335,"Mobile App",False
336,ORD_00000336,"In-Store Cashier",False
337,ORD_00000337,Drive-Thru,False
338,ORD_00000338,Drive-Thru,False
339,ORD_00000339,"Mobile App",True
340,ORD_00000340,"Mobile App",True
341,ORD_00000341,Drive-Thru,False
342,ORD_00000342,"In-Store Cashier",False
343,ORD_00000343,"Mobile App",True
344,ORD_00000344,Drive-Thru,False
345,ORD_00000345,Drive-Thru,False
346,ORD_00000346,Drive-Thru,False
347,ORD_00000347,Drive-Thru,False
348,ORD_00000348,Drive-Thru,False
349,ORD_00000349,"In-Store Cashier",False
350,ORD_00000350,"Mobile App",False
351,ORD_00000351,"Mobile App",True
352,ORD_00000352,Drive-Thru,False
353,ORD_00000353,Drive-Thru,False
354,ORD_00000354,"Mobile App",True
355,ORD_00000355,"Mobile App",True
356,ORD_00000356,"In-Store Cashier",False
357,ORD_00000357,"Mobile App",True
358,ORD_00000358,Drive-Thru,False
359,ORD_00000359,"In-Store Cashier",False
360,ORD_00000360,Kiosk,False
361,ORD_00000361,"Mobile App",True
362,ORD_00000362,"In-Store Cashier",False
363,ORD_00000363,"In-Store Cashier",False
364,ORD_00000364,"Mobile App",False
365,ORD_00000365,"Mobile App",True
366,ORD_00000366,"Mobile App",True
367,ORD_00000367,Drive-Thru,False
368,ORD_00000368,"Mobile App",False
369,ORD_00000369,Kiosk,False
370,ORD_00000370,"Mobile App",True
371,ORD_00000371,"Mobile App",True
372,ORD_00000372,"Mobile App",False
373,ORD_00000373,Kiosk,False
374,ORD_00000374,Drive-Thru,False
375,ORD_00000375,"Mobile App",True
376,ORD_00000376,Drive-Thru,False
377,ORD_00000377,Drive-Thru,False
378,ORD_00000378,Kiosk,False
379,ORD_00000379,"Mobile App",True
380,ORD_00000380,"In-Store Cashier",False
381,ORD_00000381,"In-Store Cashier",False
382,ORD_00000382,"Mobile App",True
383,ORD_00000383,Drive-Thru,False
384,ORD_00000384,"Mobile App",True
385,ORD_00000385,"In-Store Cashier",False
386,ORD_00000386,Drive-Thru,False
387,ORD_00000387,Drive-Thru,False
388,ORD_00000388,"Mobile App",True
389,ORD_00000389,"Mobile App",True
390,ORD_00000390,"In-Store Cashier",False
391,ORD_00000391,Drive-Thru,False
392,ORD_00000392,"Mobile App",False
393,ORD_00000393,"Mobile App",False
394,ORD_00000394,"In-Store Cashier",False
395,ORD_00000395,"In-Store Cashier",False
396,ORD_00000396,Kiosk,False
397,ORD_00000397,Drive-Thru,False
398,ORD_00000398,Drive-Thru,False
399,ORD_00000399,Drive-Thru,False
400,ORD_00000400,"Mobile App",False
401,ORD_00000401,Drive-Thru,False
402,ORD_00000402,"In-Store Cashier",False
403,ORD_00000403,"Mobile App",True
404,ORD_00000404,"In-Store Cashier",False
405,ORD_00000405,"Mobile App",True
406,ORD_00000406,"Mobile App",False
407,ORD_00000407,Kiosk,False
408,ORD_00000408,"In-Store Cashier",False
409,ORD_00000409,"Mobile App",False
410,ORD_00000410,"Mobile App",True
411,ORD_00000411,Drive-Thru,False
412,ORD_00000412,Drive-Thru,False
413,ORD_00000413,"Mobile App",True
414,ORD_00000414,Drive-Thru,False
415,ORD_00000415,"Mobile App",True
416,ORD_00000416,"In-Store Cashier",False
417,ORD_00000417,"Mobile App",True
418,ORD_00000418,"Mobile App",True
419,ORD_00000419,Drive-Thru,False
420,ORD_00000420,"Mobile App",True
421,ORD_00000421,"Mobile App",True
422,ORD_00000422,"Mobile App",False
423,ORD_00000423,Drive-Thru,False
424,ORD_00000424,"Mobile App",False
425,ORD_00000425,"Mobile App",True
426,ORD_00000426,Drive-Thru,False
427,ORD_00000427,Drive-Thru,False
428,ORD_00000428,"Mobile App",True
429,ORD_00000429,"Mobile App",True
430,ORD_00000430,"Mobile App",True
431,ORD_00000431,"Mobile App",False
432,ORD_00000432,"In-Store Cashier",False
433,ORD_00000433,"Mobile App",True
434,ORD_00000434,"Mobile App",True
435,ORD_00000435,Drive-Thru,False
436,ORD_00000436,"In-Store Cashier",False
437,ORD_00000437,Drive-Thru,False
438,ORD_00000438,Drive-Thru,False
439,ORD_00000439,"Mobile App",False
440,ORD_00000440,Drive-Thru,False
441,ORD_00000441,Drive-Thru,False
442,ORD_00000442,Drive-Thru,False
443,ORD_00000443,Drive-Thru,False
444,ORD_00000444,"Mobile App",True
445,ORD_00000445,Drive-Thru,False
446,ORD_00000446,"Mobile App",False
447,ORD_00000447,"In-Store Cashier",False
448,ORD_00000448,"Mobile App",True
449,ORD_00000449,"In-Store Cashier",False
450,ORD_00000450,Kiosk,False
451,ORD_00000451,"In-Store Cashier",False
452,ORD_00000452,Drive-Thru,False
453,ORD_00000453,"Mobile App",True
454,ORD_00000454,"Mobile App",True
455,ORD_00000455,"Mobile App",True
456,ORD_00000456,Drive-Thru,False
457,ORD_00000457,"Mobile App",True
458,ORD_00000458,"Mobile App",True
459,ORD_00000459,"In-Store Cashier",False
460,ORD_00000460,Drive-Thru,False
461,ORD_00000461,"Mobile App",False
462,ORD_00000462,"Mobile App",True
463,ORD_00000463,"Mobile App",False
464,ORD_00000464,Drive-Thru,False
465,ORD_00000465,"Mobile App",True
466,ORD_00000466,"Mobile App",True
467,ORD_00000467,Kiosk,False
468,ORD_00000468,Drive-Thru,False
469,ORD_00000469,Kiosk,False
470,ORD_00000470,"In-Store Cashier",False
471,ORD_00000471,"Mobile App",True
472,ORD_00000472,Kiosk,False
473,ORD_00000473,"In-Store Cashier",False
474,ORD_00000474,Kiosk,False
475,ORD_00000475,"Mobile App",True
476,ORD_00000476,"In-Store Cashier",False
477,ORD_00000477,"In-Store Cashier",False
478,ORD_00000478,Drive-Thru,False
479,ORD_00000479,Drive-Thru,False
480,ORD_00000480,Drive-Thru,False
481,ORD_00000481,Drive-Thru,False
482,ORD_00000482,"Mobile App",True
483,ORD_00000483,"Mobile App",False
484,ORD_00000484,Kiosk,False
485,ORD_00000485,"In-Store Cashier",False
486,ORD_00000486,"Mobile App",True
487,ORD_00000487,Kiosk,False
488,ORD_00000488,Drive-Thru,False
489,ORD_00000489,"Mobile App",True
490,ORD_00000490,"In-Store Cashier",False
491,ORD_00000491,"In-Store Cashier",False
492,ORD_00000492,Kiosk,False
493,ORD_00000493,Kiosk,False
494,ORD_00000494,Kiosk,False
495,ORD_00000495,"Mobile App",False
496,ORD_00000496,"Mobile App",True
497,ORD_00000497,Drive-Thru,False
498,ORD_00000498,"Mobile App",True
499,ORD_00000499,"In-Store Cashier",False
500,ORD_00000500,Drive-Thru,False
501,ORD_00000501,Drive-Thru,False
502,ORD_00000502,"In-Store Cashier",False
503,ORD_00000503,Kiosk,False
504,ORD_00000504,"Mobile App",True
505,ORD_00000505,"Mobile App",True
506,ORD_00000506,"Mobile App",True
507,ORD_00000507,Drive-Thru,False
508,ORD_00000508,Kiosk,False
509,ORD_00000509,Drive-Thru,False
510,ORD_00000510,Drive-Thru,False
511,ORD_00000511,"Mobile App",True
512,ORD_00000512,"Mobile App",True
513,ORD_00000513,"Mobile App",True
514,ORD_00000514,Kiosk,False
515,ORD_00000515,Drive-Thru,False
516,ORD_00000516,"Mobile App",True
517,ORD_00000517,"In-Store Cashier",False
518,ORD_00000518,Drive-Thru,False
519,ORD_00000519,"Mobile App",True
520,ORD_00000520,"Mobile App",True
521,ORD_00000521,Kiosk,False
522,ORD_00000522,Drive-Thru,False
523,ORD_00000523,"Mobile App",False
524,ORD_00000524,Drive-Thru,False
525,ORD_00000525,"In-Store Cashier",False
526,ORD_00000526,Drive-Thru,False
527,ORD_00000527,Drive-Thru,False
528,ORD_00000528,"Mobile App",False
529,ORD_00000529,"In-Store Cashier",False
530,ORD_00000530,"In-Store Cashier",False
531,ORD_00000531,Kiosk,False
532,ORD_00000532,"Mobile App",True
533,ORD_00000533,Drive-Thru,False
534,ORD_00000534,"Mobile App",True
535,ORD_00000535,Kiosk,False
536,ORD_00000536,Drive-Thru,False
537,ORD_00000537,Kiosk,False
538,ORD_00000538,"In-Store Cashier",False
539,ORD_00000539,"Mobile App",True
540,ORD_00000540,"Mobile App",False
541,ORD_00000541,Drive-Thru,False
542,ORD_00000542,Kiosk,False
543,ORD_00000543,"Mobile App",False
544,ORD_00000544,Kiosk,False
545,ORD_00000545,Drive-Thru,False
546,ORD_00000546,"Mobile App",True
547,ORD_00000547,"Mobile App",False
548,ORD_00000548,"In-Store Cashier",False
549,ORD_00000549,Drive-Thru,False
550,ORD_00000550,Drive-Thru,False
551,ORD_00000551,"Mobile App",True
552,ORD_00000552,"In-Store Cashier",False
553,ORD_00000553,"Mobile App",True
554,ORD_00000554,"In-Store Cashier",False
555,ORD_00000555,"Mobile App",False
556,ORD_00000556,"In-Store Cashier",False
557,ORD_00000557,Drive-Thru,False
558,ORD_00000558,"Mobile App",True
559,ORD_00000559,Drive-Thru,False
560,ORD_00000560,"Mobile App",False
561,ORD_00000561,"Mobile App",False
562,ORD_00000562,"Mobile App",False
563,ORD_00000563,"Mobile App",True
564,ORD_00000564,Drive-Thru,False
565,ORD_00000565,"Mobile App",True
566,ORD_00000566,"In-Store Cashier",False
567,ORD_00000567,Drive-Thru,False
568,ORD_00000568,Drive-Thru,False
569,ORD_00000569,Drive-Thru,False
570,ORD_00000570,"In-Store Cashier",False
571,ORD_00000571,"Mobile App",False
572,ORD_00000572,"Mobile App",True
573,ORD_00000573,"Mobile App",False
574,ORD_00000574,"Mobile App",True
575,ORD_00000575,Drive-Thru,False
576,ORD_00000576,"Mobile App",True
577,ORD_00000577,Drive-Thru,False
578,ORD_00000578,"In-Store Cashier",False
579,ORD_00000579,"In-Store Cashier",False
580,ORD_00000580,"In-Store Cashier",False
581,ORD_00000581,Kiosk,False
582,ORD_00000582,"Mobile App",True
583,ORD_00000583,"Mobile App",True
584,ORD_00000584,"In-Store Cashier",False
585,ORD_00000585,Kiosk,False
586,ORD_00000586,"Mobile App",True
587,ORD_00000587,Drive-Thru,False
588,ORD_00000588,Kiosk,False
589,ORD_00000589,"In-Store Cashier",False
590,ORD_00000590,"Mobile App",False
591,ORD_00000591,Drive-Thru,False
592,ORD_00000592,Drive-Thru,False
593,ORD_00000593,"In-Store Cashier",False
594,ORD_00000594,"In-Store Cashier",False
595,ORD_00000595,"Mobile App",False
596,ORD_00000596,"Mobile App",False
597,ORD_00000597,"Mobile App",False
598,ORD_00000598,"Mobile App",True
599,ORD_00000599,Drive-Thru,False
600,ORD_00000600,Drive-Thru,False
601,ORD_00000601,Drive-Thru,False
602,ORD_00000602,Drive-Thru,False
603,ORD_00000603,"Mobile App",False
604,ORD_00000604,"Mobile App",True
605,ORD_00000605,"Mobile App",True
606,ORD_00000606,"Mobile App",True
607,ORD_00000607,"Mobile App",True
608,ORD_00000608,"In-Store Cashier",False
609,ORD_00000609,"In-Store Cashier",False
610,ORD_00000610,Drive-Thru,False
611,ORD_00000611,"Mobile App",True
612,ORD_00000612,Drive-Thru,False
613,ORD_00000613,"In-Store Cashier",False
614,ORD_00000614,"Mobile App",True
615,ORD_00000615,"Mobile App",False
616,ORD_00000616,"Mobile App",True
617,ORD_00000617,"Mobile App",True
618,ORD_00000618,Drive-Thru,False
619,ORD_00000619,"Mobile App",True
620,ORD_00000620,"In-Store Cashier",False
621,ORD_00000621,"In-Store Cashier",False
622,ORD_00000622,Kiosk,False
623,ORD_00000623,"Mobile App",False
624,ORD_00000624,Drive-Thru,False
625,ORD_00000625,"Mobile App",True
626,ORD_00000626,Drive-Thru,False
627,ORD_00000627,"Mobile App",True
628,ORD_00000628,Drive-Thru,False
629,ORD_00000629,Drive-Thru,False
630,ORD_00000630,Drive-Thru,False
631,ORD_00000631,Drive-Thru,False
632,ORD_00000632,"Mobile App",True
633,ORD_00000633,"Mobile App",True
634,ORD_00000634,"Mobile App",True
635,ORD_00000635,Drive-Thru,False
636,ORD_00000636,"Mobile App",True
637,ORD_00000637,"Mobile App",True
638,ORD_00000638,"Mobile App",False
639,ORD_00000639,Drive-Thru,False
640,ORD_00000640,"Mobile App",True
641,ORD_00000641,"Mobile App",True
642,ORD_00000642,"Mobile App",True
643,ORD_00000643,Drive-Thru,False
644,ORD_00000644,"In-Store Cashier",False
645,ORD_00000645,"Mobile App",True
646,ORD_00000646,Kiosk,False
647,ORD_00000647,"In-Store Cashier",False
648,ORD_00000648,Drive-Thru,False
649,ORD_00000649,"In-Store Cashier",False
650,ORD_00000650,Drive-Thru,False
651,ORD_00000651,Drive-Thru,False
652,ORD_00000652,Drive-Thru,False
653,ORD_00000653,"Mobile App",True
654,ORD_00000654,Drive-Thru,False
655,ORD_00000655,Drive-Thru,False
656,ORD_00000656,Drive-Thru,False
657,ORD_00000657,"In-Store Cashier",False
658,ORD_00000658,"Mobile App",False
659,ORD_00000659,"Mobile App",True
660,ORD_00000660,"Mobile App",True
661,ORD_00000661,"Mobile App",True
662,ORD_00000662,Drive-Thru,False
663,ORD_00000663,Drive-Thru,False
664,ORD_00000664,"Mobile App",True
665,ORD_00000665,"In-Store Cashier",False
666,ORD_00000666,Drive-Thru,False
667,ORD_00000667,"Mobile App",True
668,ORD_00000668,"Mobile App",True
669,ORD_00000669,Drive-Thru,False
670,ORD_00000670,"Mobile App",True
671,ORD_00000671,Drive-Thru,False
672,ORD_00000672,Drive-Thru,False
673,ORD_00000673,Drive-Thru,False
674,ORD_00000674,"Mobile App",True
675,ORD_00000675,Drive-Thru,False
676,ORD_00000676,Drive-Thru,False
677,ORD_00000677,"Mobile App",True
678,ORD_00000678,Drive-Thru,False
679,ORD_00000679,"Mobile App",True
680,ORD_00000680,Drive-Thru,False
681,ORD_00000681,Drive-Thru,False
682,ORD_00000682,"Mobile App",True
683,ORD_00000683,Drive-Thru,False
684,ORD_00000684,Drive-Thru,False
685,ORD_00000685,"In-Store Cashier",False
686,ORD_00000686,Drive-Thru,False
687,ORD_00000687,Drive-Thru,False
688,ORD_00000688,Drive-Thru,False
689,ORD_00000689,Drive-Thru,False
690,ORD_00000690,"Mobile App",True
691,ORD_00000691,"In-Store Cashier",False
692,ORD_00000692,Kiosk,False
693,ORD_00000693,"Mobile App",True
694,ORD_00000694,"Mobile App",False
695,ORD_00000695,Drive-Thru,False
696,ORD_00000696,"Mobile App",True
697,ORD_00000697,Drive-Thru,False
698,ORD_00000698,Drive-Thru,False
699,ORD_00000699,Drive-Thru,False
700,ORD_00000700,"In-Store Cashier",False
701,ORD_00000701,Kiosk,False
702,ORD_00000702,"In-Store Cashier",False
703,ORD_00000703,Drive-Thru,False
704,ORD_00000704,"In-Store Cashier",False
