id,order_id,customer_id,total_spend,fulfillment_time_min,customer_satisfaction
109,ORD_00000109,886,18.63,4,5
110,ORD_00000110,932,10.95,5,5
111,ORD_00000111,936,12.78,3,4
112,ORD_00000112,938,16.05,3,5
113,ORD_00000113,947,7.32,7,1
114,ORD_00000114,949,6.01,6,1
115,ORD_00000115,951,11.38,3,5
116,ORD_00000116,952,16.27,5,4
117,ORD_00000117,953,12.39,3,2
118,ORD_00000118,954,15.94,5,5
119,ORD_00000119,956,10.20,3,3
120,ORD_00000120,958,14.40,6,4
121,ORD_00000121,965,17.83,4,4
122,ORD_00000122,967,5.44,5,3
123,ORD_00000123,968,13.07,8,4
124,ORD_00000124,969,14.58,8,2
125,ORD_00000125,970,10.08,3,2
126,ORD_00000126,971,13.00,4,3
127,ORD_00000127,973,22.30,5,4
128,ORD_00000128,975,11.69,3,4
129,ORD_00000129,976,13.77,5,4
130,ORD_00000130,1012,13.10,7,5
131,ORD_00000131,1014,23.12,3,2
132,ORD_00000132,1019,12.95,6,4
133,ORD_00000133,1020,11.58,3,2
134,ORD_00000134,1021,16.48,4,5
135,ORD_00000135,1022,14.69,5,5
136,ORD_00000136,1023,16.15,1,1
137,ORD_00000137,1024,7.08,5,3
138,ORD_00000138,1025,18.66,4,4
139,ORD_00000139,1026,17.52,4,4
140,ORD_00000140,1027,6.59,4,5
141,ORD_00000141,980,12.81,4,5
142,ORD_00000142,1029,15.46,5,2
143,ORD_00000143,1030,20.80,4,4
144,ORD_00000144,1031,23.65,6,4
145,ORD_00000145,1033,11.67,5,3
146,ORD_00000146,1034,21.78,3,4
147,ORD_00000147,1035,13.82,3,4
148,ORD_00000148,1037,20.25,3,4
149,ORD_00000149,1038,29.12,4,4
150,ORD_00000150,1040,24.16,4,2
151,ORD_00000151,1041,18.35,4,5
152,ORD_00000152,623,12.10,3,4
153,ORD_00000153,423,12.27,6,2
154,ORD_00000154,1132,18.15,4,3
155,ORD_00000155,102,17.61,5,3
156,ORD_00000156,2,15.93,6,1
157,ORD_00000157,5,16.96,5,5
158,ORD_00000158,13,14.97,7,4
159,ORD_00000159,15,16.05,3,4
160,ORD_00000160,16,15.43,7,4
161,ORD_00000161,20,7.52,5,1
162,ORD_00000162,21,21.60,2,4
163,ORD_00000163,22,16.37,5,5
164,ORD_00000164,36,10.03,2,4
165,ORD_00000165,37,5.27,9,3
166,ORD_00000166,39,11.55,7,3
167,ORD_00000167,40,11.72,7,3
168,ORD_00000168,42,26.22,5,3
169,ORD_00000169,44,7.58,3,4
170,ORD_00000170,47,11.12,5,1
171,ORD_00000171,48,25.99,6,5
172,ORD_00000172,49,15.53,3,3
173,ORD_00000173,50,17.35,7,2
174,ORD_00000174,52,11.77,3,2
175,ORD_00000175,53,16.36,5,5
176,ORD_00000176,54,21.54,4,4
177,ORD_00000177,73,13.15,3,2
178,ORD_00000178,74,10.68,6,5
179,ORD_00000179,75,11.50,4,4
180,ORD_00000180,76,14.20,5,2
181,ORD_00000181,77,9.09,4,4
182,ORD_00000182,78,9.45,6,3
183,ORD_00000183,79,16.48,4,4
184,ORD_00000184,80,8.15,5,5
185,ORD_00000185,81,21.67,7,5
186,ORD_00000186,82,14.55,6,4
187,ORD_00000187,83,16.68,6,3
188,ORD_00000188,102,23.77,6,4
189,ORD_00000189,103,9.07,4,2
190,ORD_00000190,104,20.35,3,5
191,ORD_00000191,105,18.70,4,4
192,ORD_00000192,106,17.73,2,5
193,ORD_00000193,107,9.40,6,5
194,ORD_00000194,108,13.49,5,4
195,ORD_00000195,109,18.55,5,5
196,ORD_00000196,110,12.66,4,2
197,ORD_00000197,111,18.61,5,1
198,ORD_00000198,112,20.68,5,2
199,ORD_00000199,124,20.81,4,2
200,ORD_00000200,125,20.15,7,3
201,ORD_00000201,126,14.03,4,4
202,ORD_00000202,127,12.83,6,4
203,ORD_00000203,128,15.22,4,5
204,ORD_00000204,130,8.68,2,5
205,ORD_00000205,132,7.68,7,5
206,ORD_00000206,134,13.79,3,3
207,ORD_00000207,135,14.95,5,3
208,ORD_00000208,136,8.11,4,5
209,ORD_00000209,137,27.30,4,3
210,ORD_00000210,139,16.93,5,4
211,ORD_00000211,140,14.85,7,5
212,ORD_00000212,141,19.43,3,4
213,ORD_00000213,142,25.23,3,2
214,ORD_00000214,143,16.48,8,2
215,ORD_00000215,144,15.19,5,5
216,ORD_00000216,145,9.53,3,1
217,ORD_00000217,146,12.28,5,5
218,ORD_00000218,147,11.64,6,2
219,ORD_00000219,148,8.71,3,4
220,ORD_00000220,151,22.48,5,5
221,ORD_00000221,192,12.49,5,4
222,ORD_00000222,193,8.61,7,5
223,ORD_00000223,194,8.71,3,3
224,ORD_00000224,195,3.62,6,4
225,ORD_00000225,197,23.21,3,4
226,ORD_00000226,199,16.11,3,5
227,ORD_00000227,201,19.76,6,5
228,ORD_00000228,203,17.08,4,3
229,ORD_00000229,205,12.34,5,1
230,ORD_00000230,207,12.29,5,5
231,ORD_00000231,209,13.68,6,5
232,ORD_00000232,215,10.59,5,5
233,ORD_00000233,217,11.48,6,5
234,ORD_00000234,219,17.63,3,3
235,ORD_00000235,221,21.88,2,5
236,ORD_00000236,231,11.64,3,5
237,ORD_00000237,232,20.74,3,5
238,ORD_00000238,233,17.86,5,5
239,ORD_00000239,234,8.52,4,1
240,ORD_00000240,235,23.41,5,5
241,ORD_00000241,236,8.71,4,5
242,ORD_00000242,237,12.60,5,4
243,ORD_00000243,238,15.35,4,3
244,ORD_00000244,239,19.91,5,5
245,ORD_00000245,240,28.81,4,3
246,ORD_00000246,241,9.57,6,4
247,ORD_00000247,242,19.65,4,5
248,ORD_00000248,243,18.62,3,4
249,ORD_00000249,244,6.26,5,4
250,ORD_00000250,245,21.64,4,5
251,ORD_00000251,277,10.66,5,2
252,ORD_00000252,278,15.14,4,4
253,ORD_00000253,294,12.73,6,1
254,ORD_00000254,300,13.79,5,4
255,ORD_00000255,301,12.78,3,5
256,ORD_00000256,303,18.14,3,4
257,ORD_00000257,305,9.74,2,4
258,ORD_00000258,307,13.98,7,1
259,ORD_00000259,309,21.09,5,4
260,ORD_00000260,311,9.80,3,5
261,ORD_00000261,96,9.69,3,4
262,ORD_00000262,315,11.60,6,4
263,ORD_00000263,317,13.96,4,4
264,ORD_00000264,320,7.71,9,5
265,ORD_00000265,336,15.89,6,5
266,ORD_00000266,339,14.44,5,4
267,ORD_00000267,340,12.91,5,5
268,ORD_00000268,360,15.29,4,5
269,ORD_00000269,361,23.59,6,5
270,ORD_00000270,362,14.83,7,1
271,ORD_00000271,363,10.79,9,5
272,ORD_00000272,364,21.04,3,5
273,ORD_00000273,365,10.86,4,3
274,ORD_00000274,366,12.92,10,3
275,ORD_00000275,367,23.50,4,4
276,ORD_00000276,368,15.03,6,2
277,ORD_00000277,369,13.97,6,2
278,ORD_00000278,370,18.13,6,4
279,ORD_00000279,118,10.00,8,4
280,ORD_00000280,372,13.18,6,5
281,ORD_00000281,373,18.75,6,5
282,ORD_00000282,374,8.87,5,4
283,ORD_00000283,375,17.23,5,4
284,ORD_00000284,376,15.32,6,5
285,ORD_00000285,391,14.82,6,2
286,ORD_00000286,392,6.17,9,4
287,ORD_00000287,435,9.99,7,4
288,ORD_00000288,436,9.61,8,3
289,ORD_00000289,439,13.28,5,3
290,ORD_00000290,440,10.26,4,5
291,ORD_00000291,441,13.16,6,3
292,ORD_00000292,442,16.46,7,3
293,ORD_00000293,443,15.89,6,5
294,ORD_00000294,444,12.70,4,4
295,ORD_00000295,445,16.82,4,5
296,ORD_00000296,446,8.36,5,2
297,ORD_00000297,448,10.29,4,5
298,ORD_00000298,460,9.82,4,2
299,ORD_00000299,462,23.91,6,5
300,ORD_00000300,466,16.07,6,4
301,ORD_00000301,467,11.96,6,4
302,ORD_00000302,468,9.57,7,4
303,ORD_00000303,469,11.73,4,5
304,ORD_00000304,471,20.31,3,4
305,ORD_00000305,472,11.69,3,3
306,ORD_00000306,473,12.81,6,3
307,ORD_00000307,475,8.50,7,4
308,ORD_00000308,331,14.53,4,3
309,ORD_00000309,515,20.91,5,4
310,ORD_00000310,518,12.47,7,4
311,ORD_00000311,519,9.91,5,3
312,ORD_00000312,520,11.94,6,5
313,ORD_00000313,521,10.84,3,2
314,ORD_00000314,523,14.94,6,2
315,ORD_00000315,355,7.46,5,1
316,ORD_00000316,527,20.29,6,4
317,ORD_00000317,554,13.95,5,1
318,ORD_00000318,556,13.65,9,5
319,ORD_00000319,558,10.08,6,4
320,ORD_00000320,562,15.12,2,5
321,ORD_00000321,566,16.36,5,5
322,ORD_00000322,570,12.04,9,3
323,ORD_00000323,571,17.41,6,2
324,ORD_00000324,573,14.21,6,2
325,ORD_00000325,574,31.57,5,4
326,ORD_00000326,583,11.43,2,4
327,ORD_00000327,586,11.78,6,4
328,ORD_00000328,588,10.90,7,5
329,ORD_00000329,590,22.19,2,3
330,ORD_00000330,593,5.84,3,2
331,ORD_00000331,631,11.38,6,4
332,ORD_00000332,638,13.07,4,5
333,ORD_00000333,647,10.06,3,4
334,ORD_00000334,648,17.64,5,3
335,ORD_00000335,649,24.98,6,4
336,ORD_00000336,650,10.67,6,5
337,ORD_00000337,651,6.76,5,5
338,ORD_00000338,652,8.80,8,2
339,ORD_00000339,654,13.50,6,4
340,ORD_00000340,409,8.99,4,5
341,ORD_00000341,658,17.60,6,4
342,ORD_00000342,667,11.49,5,4
343,ORD_00000343,668,27.03,5,4
344,ORD_00000344,669,14.48,6,4
345,ORD_00000345,670,6.79,5,5
346,ORD_00000346,672,14.30,7,3
347,ORD_00000347,673,8.98,4,3
348,ORD_00000348,674,14.79,8,3
349,ORD_00000349,700,8.77,2,2
350,ORD_00000350,702,10.13,3,3
351,ORD_00000351,704,21.27,5,3
352,ORD_00000352,705,11.11,7,2
353,ORD_00000353,728,10.42,6,3
354,ORD_00000354,729,16.79,6,4
355,ORD_00000355,730,19.74,4,3
356,ORD_00000356,732,17.97,2,4
357,ORD_00000357,734,12.14,3,2
358,ORD_00000358,736,17.40,6,4
359,ORD_00000359,738,12.92,2,4
360,ORD_00000360,739,14.08,4,3
361,ORD_00000361,740,20.23,4,5
362,ORD_00000362,343,10.96,2,5
363,ORD_00000363,742,18.75,5,3
364,ORD_00000364,746,23.84,3,1
365,ORD_00000365,754,18.08,4,4
366,ORD_00000366,756,10.34,5,5
367,ORD_00000367,757,11.90,5,1
368,ORD_00000368,765,15.52,4,3
369,ORD_00000369,423,15.35,3,4
370,ORD_00000370,768,15.40,5,4
371,ORD_00000371,769,9.83,5,3
372,ORD_00000372,770,21.28,4,4
373,ORD_00000373,771,20.80,3,4
374,ORD_00000374,772,10.53,6,3
375,ORD_00000375,791,17.70,5,3
376,ORD_00000376,795,10.23,8,3
377,ORD_00000377,797,5.73,7,3
378,ORD_00000378,799,6.67,2,5
379,ORD_00000379,802,10.36,5,5
380,ORD_00000380,804,15.77,2,4
381,ORD_00000381,845,14.44,5,4
382,ORD_00000382,847,11.91,6,5
383,ORD_00000383,849,7.03,3,5
384,ORD_00000384,851,18.71,6,3
385,ORD_00000385,853,18.56,2,3
386,ORD_00000386,854,23.11,4,5
387,ORD_00000387,856,14.56,4,4
388,ORD_00000388,858,21.23,4,4
389,ORD_00000389,860,16.43,5,4
390,ORD_00000390,862,15.65,3,4
391,ORD_00000391,863,9.60,4,2
392,ORD_00000392,864,19.76,3,4
393,ORD_00000393,865,14.38,6,4
394,ORD_00000394,866,8.97,3,3
395,ORD_00000395,868,7.95,5,2
396,ORD_00000396,372,11.75,3,2
397,ORD_00000397,898,11.59,6,5
398,ORD_00000398,900,4.23,6,4
399,ORD_00000399,902,11.86,8,4
400,ORD_00000400,904,19.06,6,5
401,ORD_00000401,906,17.01,6,5
402,ORD_00000402,172,13.89,3,2
403,ORD_00000403,910,14.49,5,3
404,ORD_00000404,911,11.98,3,3
405,ORD_00000405,912,18.19,5,4
406,ORD_00000406,918,6.46,5,4
407,ORD_00000407,920,8.07,6,2
408,ORD_00000408,924,12.88,3,5
409,ORD_00000409,925,16.85,5,5
410,ORD_00000410,927,18.23,4,5
411,ORD_00000411,929,13.12,5,4
412,ORD_00000412,930,8.88,7,5
413,ORD_00000413,935,11.45,7,5
414,ORD_00000414,937,6.62,4,1
415,ORD_00000415,939,14.58,3,4
416,ORD_00000416,941,11.98,2,5
417,ORD_00000417,943,26.18,6,4
418,ORD_00000418,945,25.86,2,5
419,ORD_00000419,362,11.25,6,3
420,ORD_00000420,957,10.34,7,5
421,ORD_00000421,959,12.18,5,2
422,ORD_00000422,960,13.53,3,3
423,ORD_00000423,961,15.81,6,2
424,ORD_00000424,962,16.94,3,3
425,ORD_00000425,963,14.12,4,1
426,ORD_00000426,964,12.25,6,5
427,ORD_00000427,966,16.29,6,1
428,ORD_00000428,972,28.18,7,4
429,ORD_00000429,974,10.53,4,3
430,ORD_00000430,977,12.94,6,4
431,ORD_00000431,978,22.24,4,5
432,ORD_00000432,979,14.71,3,4
433,ORD_00000433,980,19.18,5,5
434,ORD_00000434,981,20.92,6,3
435,ORD_00000435,982,18.77,4,4
436,ORD_00000436,983,13.01,4,5
437,ORD_00000437,984,11.04,6,5
438,ORD_00000438,985,15.79,5,3
439,ORD_00000439,986,23.48,6,4
440,ORD_00000440,987,12.27,7,4
441,ORD_00000441,1044,6.05,6,3
442,ORD_00000442,1045,7.86,4,5
443,ORD_00000443,1046,26.06,8,2
444,ORD_00000444,1048,19.59,4,5
445,ORD_00000445,1066,5.87,7,3
446,ORD_00000446,1069,13.25,3,4
447,ORD_00000447,1073,21.65,2,5
448,ORD_00000448,1075,27.83,4,4
449,ORD_00000449,1077,12.33,5,2
450,ORD_00000450,1079,15.69,4,3
451,ORD_00000451,1081,14.66,4,5
452,ORD_00000452,1090,21.28,8,5
453,ORD_00000453,102,20.97,4,4
454,ORD_00000454,1094,19.38,4,3
455,ORD_00000455,1096,23.01,4,5
456,ORD_00000456,1099,17.65,6,5
457,ORD_00000457,1101,15.31,4,4
458,ORD_00000458,1103,25.19,4,4
459,ORD_00000459,1105,9.34,3,5
460,ORD_00000460,1112,10.60,6,3
461,ORD_00000461,1114,20.31,3,4
462,ORD_00000462,1116,10.11,5,4
463,ORD_00000463,1127,27.56,4,4
464,ORD_00000464,1129,17.49,4,4
465,ORD_00000465,1,20.44,7,4
466,ORD_00000466,3,14.55,4,4
467,ORD_00000467,8,8.35,5,5
468,ORD_00000468,9,17.23,5,3
469,ORD_00000469,10,7.02,3,5
470,ORD_00000470,11,8.81,4,4
471,ORD_00000471,12,9.41,2,4
472,ORD_00000472,14,8.96,3,4
473,ORD_00000473,17,9.03,3,4
474,ORD_00000474,19,11.47,5,3
475,ORD_00000475,23,19.49,4,4
476,ORD_00000476,24,15.42,2,1
477,ORD_00000477,25,5.52,3,4
478,ORD_00000478,26,5.60,6,3
479,ORD_00000479,28,6.62,4,4
480,ORD_00000480,29,9.87,7,2
481,ORD_00000481,30,12.55,6,5
482,ORD_00000482,31,22.17,6,4
483,ORD_00000483,33,25.18,6,1
484,ORD_00000484,34,12.84,5,3
485,ORD_00000485,38,11.95,4,5
486,ORD_00000486,55,11.98,4,3
487,ORD_00000487,56,15.53,5,5
488,ORD_00000488,57,11.87,8,4
489,ORD_00000489,58,19.16,4,3
490,ORD_00000490,59,12.85,3,3
491,ORD_00000491,60,11.91,3,3
492,ORD_00000492,61,24.01,3,4
493,ORD_00000493,63,10.80,3,4
494,ORD_00000494,66,8.81,7,4
495,ORD_00000495,67,12.36,5,5
496,ORD_00000496,68,24.44,3,4
497,ORD_00000497,90,7.87,4,1
498,ORD_00000498,91,21.95,5,4
499,ORD_00000499,92,4.39,3,5
500,ORD_00000500,94,15.93,7,1
501,ORD_00000501,95,14.05,7,4
502,ORD_00000502,96,14.06,2,4
503,ORD_00000503,97,15.70,5,1
504,ORD_00000504,98,18.84,4,5
505,ORD_00000505,99,9.01,3,4
506,ORD_00000506,100,25.20,4,5
507,ORD_00000507,101,18.12,6,2
508,ORD_00000508,165,16.38,5,4
509,ORD_00000509,166,9.17,8,1
510,ORD_00000510,167,17.80,5,2
511,ORD_00000511,168,11.85,3,4
512,ORD_00000512,169,15.25,5,4
513,ORD_00000513,170,17.17,6,5
514,ORD_00000514,171,8.34,6,4
515,ORD_00000515,173,16.10,6,5
516,ORD_00000516,174,9.10,4,3
517,ORD_00000517,175,9.70,3,5
518,ORD_00000518,176,12.96,7,5
519,ORD_00000519,181,10.74,4,2
520,ORD_00000520,183,14.34,3,5
521,ORD_00000521,184,13.40,4,4
522,ORD_00000522,141,11.87,4,5
523,ORD_00000523,186,13.35,6,4
524,ORD_00000524,187,11.80,5,3
525,ORD_00000525,188,13.05,4,3
526,ORD_00000526,189,10.24,5,5
527,ORD_00000527,190,19.57,9,3
528,ORD_00000528,191,19.11,4,4
529,ORD_00000529,229,7.39,2,4
530,ORD_00000530,246,13.14,3,4
531,ORD_00000531,247,20.61,2,2
532,ORD_00000532,248,17.57,4,5
533,ORD_00000533,249,9.85,5,3
534,ORD_00000534,250,19.08,6,5
535,ORD_00000535,251,8.98,3,3
536,ORD_00000536,252,13.69,6,3
537,ORD_00000537,253,4.96,2,5
538,ORD_00000538,254,10.71,4,3
539,ORD_00000539,255,28.82,3,5
540,ORD_00000540,256,18.32,4,4
541,ORD_00000541,257,8.73,8,1
542,ORD_00000542,258,13.27,3,4
543,ORD_00000543,259,12.67,2,5
544,ORD_00000544,260,9.98,5,3
545,ORD_00000545,261,8.07,6,4
546,ORD_00000546,262,28.42,5,5
547,ORD_00000547,263,18.57,3,2
548,ORD_00000548,264,4.55,4,3
549,ORD_00000549,265,14.52,10,4
550,ORD_00000550,266,7.05,5,5
551,ORD_00000551,267,13.17,7,4
552,ORD_00000552,268,9.25,3,1
553,ORD_00000553,269,21.85,4,3
554,ORD_00000554,270,18.10,3,3
555,ORD_00000555,271,14.64,5,5
556,ORD_00000556,272,12.89,1,5
557,ORD_00000557,273,12.02,9,4
558,ORD_00000558,274,16.10,4,5
559,ORD_00000559,275,13.06,4,3
560,ORD_00000560,279,14.38,4,4
561,ORD_00000561,280,15.59,4,5
562,ORD_00000562,298,16.78,4,3
563,ORD_00000563,310,29.24,5,5
564,ORD_00000564,312,21.17,2,4
565,ORD_00000565,314,14.25,6,5
566,ORD_00000566,316,8.40,3,5
567,ORD_00000567,318,20.33,7,4
568,ORD_00000568,321,13.84,6,2
569,ORD_00000569,322,7.33,7,5
570,ORD_00000570,323,6.17,2,3
571,ORD_00000571,324,10.91,5,2
572,ORD_00000572,325,16.61,2,5
573,ORD_00000573,326,15.21,5,3
574,ORD_00000574,335,13.05,3,5
575,ORD_00000575,337,8.76,3,5
576,ORD_00000576,338,21.81,5,5
577,ORD_00000577,341,5.77,2,5
578,ORD_00000578,342,4.63,3,4
579,ORD_00000579,343,10.54,2,3
580,ORD_00000580,344,9.21,3,1
581,ORD_00000581,345,9.63,5,4
582,ORD_00000582,346,20.10,4,5
583,ORD_00000583,347,25.07,2,3
584,ORD_00000584,348,11.69,4,5
585,ORD_00000585,351,12.39,6,5
586,ORD_00000586,352,17.43,3,5
587,ORD_00000587,353,9.57,8,2
588,ORD_00000588,354,16.45,3,4
589,ORD_00000589,355,7.26,1,4
590,ORD_00000590,356,11.60,5,3
591,ORD_00000591,357,12.93,7,5
592,ORD_00000592,358,12.90,9,4
593,ORD_00000593,359,21.22,2,4
594,ORD_00000594,380,8.63,3,3
595,ORD_00000595,382,14.74,4,4
596,ORD_00000596,73,13.47,3,4
597,ORD_00000597,397,21.38,4,4
598,ORD_00000598,398,10.11,5,5
599,ORD_00000599,399,13.38,6,4
600,ORD_00000600,400,19.48,6,5
601,ORD_00000601,402,15.59,9,4
602,ORD_00000602,404,10.21,4,4
603,ORD_00000603,406,24.19,4,5
604,ORD_00000604,409,14.51,4,4
605,ORD_00000605,411,27.62,4,3
606,ORD_00000606,413,24.10,4,4
607,ORD_00000607,420,20.67,4,5
608,ORD_00000608,422,12.31,5,4
609,ORD_00000609,424,15.67,4,4
610,ORD_00000610,427,16.59,7,5
611,ORD_00000611,428,24.11,5,5
612,ORD_00000612,429,13.26,5,3
613,ORD_00000613,430,15.08,3,4
614,ORD_00000614,431,19.96,4,5
615,ORD_00000615,432,24.78,4,4
616,ORD_00000616,433,14.37,3,2
617,ORD_00000617,434,14.23,3,5
618,ORD_00000618,456,8.72,4,5
619,ORD_00000619,457,12.73,6,5
620,ORD_00000620,458,14.45,3,5
621,ORD_00000621,459,23.72,2,4
622,ORD_00000622,461,6.57,5,4
623,ORD_00000623,463,18.43,5,5
624,ORD_00000624,464,15.34,4,3
625,ORD_00000625,465,14.61,5,4
626,ORD_00000626,510,7.83,5,4
627,ORD_00000627,512,16.13,4,2
628,ORD_00000628,513,13.05,6,1
629,ORD_00000629,514,8.43,7,5
630,ORD_00000630,516,11.35,3,4
631,ORD_00000631,517,13.32,4,3
632,ORD_00000632,522,11.14,2,5
633,ORD_00000633,524,19.45,6,5
634,ORD_00000634,526,19.38,4,3
635,ORD_00000635,528,9.50,8,4
636,ORD_00000636,529,11.14,5,5
637,ORD_00000637,530,23.69,6,4
638,ORD_00000638,531,8.69,3,4
639,ORD_00000639,532,9.73,5,4
640,ORD_00000640,553,12.88,4,5
641,ORD_00000641,560,21.53,3,3
642,ORD_00000642,564,27.94,3,4
643,ORD_00000643,572,18.08,6,5
644,ORD_00000644,575,18.15,4,5
645,ORD_00000645,577,26.61,3,4
646,ORD_00000646,284,10.11,5,4
647,ORD_00000647,581,14.74,3,4
648,ORD_00000648,584,11.55,7,4
649,ORD_00000649,592,8.50,4,5
650,ORD_00000650,595,8.67,7,5
651,ORD_00000651,598,16.94,7,3
652,ORD_00000652,601,16.32,5,2
653,ORD_00000653,604,19.16,5,5
654,ORD_00000654,612,19.69,3,1
655,ORD_00000655,237,6.24,6,4
656,ORD_00000656,614,12.17,3,4
657,ORD_00000657,615,20.24,6,5
658,ORD_00000658,659,14.33,3,5
659,ORD_00000659,662,20.89,2,3
660,ORD_00000660,664,11.38,4,2
661,ORD_00000661,666,18.09,4,4
662,ORD_00000662,691,11.80,5,5
663,ORD_00000663,692,4.41,6,4
664,ORD_00000664,693,18.95,4,4
665,ORD_00000665,694,9.24,5,3
666,ORD_00000666,695,11.86,7,4
667,ORD_00000667,696,14.22,6,5
668,ORD_00000668,697,13.45,4,5
669,ORD_00000669,698,17.39,8,5
670,ORD_00000670,699,20.66,5,5
671,ORD_00000671,701,16.16,5,5
672,ORD_00000672,703,9.89,6,3
673,ORD_00000673,706,10.16,8,4
674,ORD_00000674,707,14.68,4,4
675,ORD_00000675,708,20.49,7,2
676,ORD_00000676,709,8.16,5,3
677,ORD_00000677,710,30.71,6,5
678,ORD_00000678,682,12.95,5,1
679,ORD_00000679,712,8.02,3,4
680,ORD_00000680,713,7.79,3,2
681,ORD_00000681,714,16.96,7,5
682,ORD_00000682,715,7.08,6,5
683,ORD_00000683,716,24.32,5,4
684,ORD_00000684,745,12.73,6,2
685,ORD_00000685,748,16.21,3,5
686,ORD_00000686,750,15.07,5,1
687,ORD_00000687,558,15.78,6,3
688,ORD_00000688,763,9.71,7,2
689,ORD_00000689,764,10.74,6,4
690,ORD_00000690,809,13.87,3,5
691,ORD_00000691,810,18.86,4,3
692,ORD_00000692,811,15.65,4,3
693,ORD_00000693,812,17.41,4,5
694,ORD_00000694,814,12.68,5,5
