"store_id";"store_location_type";"region"
"STR_313";"Urban";"Southeast"
"STR_052";"Urban";"Southeast"
"STR_182";"Rural";"Northeast"
"STR_206";"Suburban";"Southwest"
"STR_472";"Suburban";"Northeast"
"STR_102";"Urban";"Southeast"
"STR_319";"Rural";"West"
"STR_072";"Urban";"Southeast"
"STR_419";"Rural";"West"
"STR_499";"Suburban";"Southwest"
"STR_261";"Rural";"West"
"STR_257";"Rural";"West"
"STR_282";"Suburban";"Southwest"
"STR_341";"Suburban";"Southeast"
"STR_211";"Urban";"Northeast"
"STR_121";"Urban";"Southeast"
"STR_066";"Rural";"Southeast"
"STR_268";"Urban";"Southwest"
"STR_217";"Rural";"West"
"STR_044";"Urban";"Southeast"
"STR_141";"Suburban";"Midwest"
"STR_371";"Urban";"Southwest"
"STR_021";"Rural";"Midwest"
"STR_277";"Suburban";"Northeast"
"STR_121";"Urban";"Southeast"
"STR_234";"Rural";"Northeast"
"STR_459";"Urban";"Southeast"
"STR_481";"Urban";"West"
"STR_085";"Suburban";"West"
"STR_342";"Suburban";"Southwest"
"STR_055";"Urban";"Southeast"
"STR_160";"Rural";"Midwest"
"STR_422";"Urban";"Northeast"
"STR_238";"Suburban";"Midwest"
"STR_126";"Rural";"Southeast"
"STR_416";"Urban";"Southeast"
"STR_320";"Urban";"Midwest"
"STR_145";"Urban";"Northeast"
"STR_070";"Suburban";"Southwest"
"STR_042";"Rural";"Southeast"
"STR_455";"Suburban";"Northeast"
"STR_080";"Suburban";"Midwest"
"STR_195";"Suburban";"West"
"STR_159";"Suburban";"Southwest"
"STR_136";"Suburban";"Midwest"
"STR_367";"Rural";"Southeast"
"STR_225";"Rural";"Southwest"
"STR_055";"Urban";"Southeast"
"STR_285";"Rural";"Southeast"
"STR_261";"Rural";"West"
"STR_352";"Rural";"West"
"STR_093";"Suburban";"Midwest"
"STR_301";"Rural";"Northeast"
"STR_153";"Urban";"Northeast"
"STR_463";"Urban";"Southeast"
"STR_240";"Urban";"Northeast"
"STR_417";"Urban";"West"
"STR_245";"Rural";"Midwest"
"STR_300";"Urban";"Southwest"
"STR_352";"Rural";"West"
"STR_157";"Suburban";"Southwest"
"STR_372";"Rural";"Northeast"
"STR_068";"Urban";"Southeast"
"STR_067";"Rural";"Midwest"
"STR_373";"Rural";"Midwest"
"STR_180";"Urban";"Southwest"
"STR_174";"Rural";"Southeast"
"STR_140";"Rural";"West"
"STR_404";"Urban";"Northeast"
"STR_007";"Suburban";"West"
"STR_198";"Suburban";"Southeast"
"STR_128";"Urban";"Northeast"
"STR_027";"Suburban";"Southeast"
"STR_485";"Rural";"Midwest"
"STR_328";"Urban";"West"
"STR_015";"Rural";"West"
"STR_126";"Rural";"Southeast"
"STR_400";"Rural";"West"
"STR_101";"Urban";"Midwest"
"STR_087";"Urban";"West"
"STR_179";"Urban";"Southeast"
"STR_050";"Urban";"Midwest"
"STR_229";"Urban";"Southeast"
"STR_284";"Suburban";"Southeast"
"STR_100";"Urban";"Southwest"
"STR_454";"Suburban";"Northeast"
"STR_427";"Rural";"West"
"STR_203";"Rural";"Southeast"
"STR_297";"Rural";"Southwest"
"STR_380";"Suburban";"Midwest"
"STR_150";"Urban";"Southwest"
"STR_461";"Urban";"Southeast"
"STR_398";"Suburban";"Northeast"
"STR_338";"Suburban";"Northeast"
"STR_004";"Urban";"Southwest"
"STR_024";"Suburban";"Southeast"
"STR_174";"Rural";"Southeast"
"STR_369";"Suburban";"Southeast"
"STR_426";"Urban";"Southeast"
"STR_457";"Rural";"Northeast"
"STR_467";"Rural";"Midwest"
"STR_167";"Urban";"Southeast"
"STR_088";"Urban";"Midwest"
"STR_363";"Rural";"Southeast"
"STR_431";"Suburban";"Northeast"
"STR_357";"Rural";"West"
"STR_057";"Suburban";"Southeast"
"STR_044";"Urban";"Southeast"
"STR_385";"Rural";"Southeast"
"STR_288";"Urban";"Northeast"
"STR_165";"Urban";"West"
"STR_257";"Rural";"West"
"STR_186";"Suburban";"Southwest"
"STR_352";"Rural";"West"
"STR_444";"Suburban";"West"
"STR_041";"Urban";"Midwest"
"STR_164";"Rural";"Southwest"
"STR_480";"Urban";"West"
"STR_234";"Rural";"Northeast"
"STR_105";"Rural";"Southwest"
"STR_335";"Rural";"Southwest"
"STR_421";"Suburban";"Southwest"
"STR_101";"Urban";"Midwest"
"STR_235";"Suburban";"Northeast"
"STR_040";"Suburban";"Southeast"
"STR_277";"Suburban";"Northeast"
"STR_325";"Urban";"Northeast"
"STR_201";"Urban";"Southwest"
"STR_068";"Urban";"Southeast"
"STR_305";"Rural";"Southeast"
"STR_486";"Rural";"Southeast"
"STR_482";"Rural";"Southeast"
"STR_465";"Suburban";"Midwest"
"STR_446";"Urban";"Midwest"
"STR_485";"Rural";"Midwest"
"STR_457";"Rural";"Northeast"
"STR_178";"Urban";"Southeast"
"STR_498";"Urban";"Northeast"
"STR_426";"Urban";"Southeast"
"STR_125";"Urban";"Midwest"
"STR_216";"Suburban";"West"
"STR_024";"Suburban";"Southeast"
"STR_399";"Suburban";"Northeast"
"STR_029";"Urban";"Midwest"
"STR_434";"Rural";"West"
"STR_277";"Suburban";"Northeast"
"STR_264";"Suburban";"Midwest"
"STR_246";"Rural";"Midwest"
"STR_147";"Urban";"Southeast"
"STR_152";"Suburban";"Northeast"
"STR_264";"Suburban";"Midwest"
"STR_468";"Rural";"Northeast"
"STR_381";"Suburban";"Southwest"
"STR_066";"Rural";"Southeast"
"STR_204";"Rural";"West"
"STR_113";"Rural";"Southeast"
"STR_457";"Rural";"Northeast"
"STR_291";"Urban";"Northeast"
"STR_240";"Urban";"Northeast"
"STR_080";"Suburban";"Midwest"
"STR_496";"Rural";"Northeast"
"STR_168";"Urban";"Midwest"
"STR_414";"Suburban";"West"
"STR_420";"Suburban";"Northeast"
"STR_130";"Rural";"Northeast"
"STR_374";"Rural";"Southwest"
"STR_267";"Urban";"Southwest"
"STR_010";"Urban";"Southeast"
"STR_363";"Rural";"Southeast"
"STR_121";"Urban";"Southeast"
"STR_412";"Suburban";"West"
"STR_398";"Suburban";"Northeast"
"STR_004";"Urban";"Southwest"
"STR_390";"Urban";"Southeast"
"STR_063";"Suburban";"Southeast"
"STR_340";"Suburban";"Southwest"
"STR_336";"Rural";"Southwest"
"STR_436";"Rural";"West"
"STR_253";"Suburban";"Southwest"
"STR_496";"Rural";"Northeast"
"STR_104";"Suburban";"Southeast"
"STR_441";"Suburban";"Southeast"
"STR_365";"Suburban";"Midwest"
"STR_372";"Rural";"Northeast"
"STR_229";"Urban";"Southeast"
"STR_004";"Urban";"Southwest"
"STR_315";"Rural";"West"
"STR_185";"Urban";"Northeast"
"STR_271";"Suburban";"West"
"STR_232";"Suburban";"Southeast"
"STR_426";"Urban";"Southeast"
"STR_125";"Urban";"Midwest"
"STR_056";"Rural";"Midwest"
"STR_021";"Rural";"Midwest"
"STR_040";"Suburban";"Southeast"
"STR_262";"Urban";"Southeast"
"STR_378";"Suburban";"Midwest"
"STR_296";"Urban";"Midwest"
"STR_225";"Rural";"Southwest"
"STR_049";"Rural";"Southwest"
"STR_079";"Suburban";"Southeast"
"STR_070";"Suburban";"Southwest"
"STR_243";"Rural";"Midwest"
"STR_322";"Rural";"Southeast"
"STR_295";"Suburban";"Southwest"
"STR_347";"Suburban";"West"
"STR_284";"Suburban";"Southeast"
"STR_121";"Urban";"Southeast"
"STR_400";"Rural";"West"
"STR_213";"Rural";"Southwest"
"STR_187";"Urban";"West"
"STR_040";"Suburban";"Southeast"
"STR_417";"Urban";"West"
"STR_320";"Urban";"Midwest"
"STR_306";"Suburban";"West"
"STR_254";"Suburban";"Southeast"
"STR_039";"Suburban";"Northeast"
"STR_417";"Urban";"West"
"STR_463";"Urban";"Southeast"
"STR_472";"Suburban";"Northeast"
"STR_125";"Urban";"Midwest"
"STR_490";"Urban";"West"
"STR_053";"Urban";"Northeast"
"STR_247";"Urban";"Northeast"
"STR_455";"Suburban";"Northeast"
"STR_417";"Urban";"West"
"STR_430";"Urban";"Southwest"
"STR_368";"Suburban";"Northeast"
"STR_338";"Suburban";"Northeast"
"STR_256";"Suburban";"West"
"STR_321";"Suburban";"West"
"STR_029";"Urban";"Midwest"
"STR_317";"Suburban";"Southeast"
"STR_465";"Suburban";"Midwest"
"STR_430";"Urban";"Southwest"
"STR_403";"Urban";"Midwest"
"STR_374";"Rural";"Southwest"
"STR_459";"Urban";"Southeast"
"STR_382";"Urban";"West"
"STR_081";"Suburban";"Southwest"
"STR_450";"Urban";"West"
"STR_115";"Suburban";"Midwest"
"STR_482";"Rural";"Southeast"
"STR_346";"Suburban";"Midwest"
"STR_223";"Urban";"Midwest"
"STR_036";"Rural";"West"
"STR_426";"Urban";"Southeast"
"STR_126";"Rural";"Southeast"
"STR_215";"Urban";"Northeast"
"STR_467";"Rural";"Midwest"
"STR_478";"Urban";"Northeast"
"STR_153";"Urban";"Northeast"
"STR_379";"Urban";"Southeast"
"STR_317";"Suburban";"Southeast"
"STR_160";"Rural";"Midwest"
"STR_410";"Suburban";"Southeast"
"STR_418";"Urban";"Southwest"
"STR_070";"Suburban";"Southwest"
"STR_423";"Rural";"Southwest"
"STR_237";"Rural";"Southeast"
"STR_343";"Suburban";"West"
"STR_299";"Suburban";"West"
"STR_122";"Rural";"West"
"STR_193";"Urban";"West"
"STR_392";"Suburban";"Midwest"
"STR_329";"Rural";"West"
"STR_237";"Rural";"Southeast"
"STR_212";"Suburban";"Midwest"
"STR_247";"Urban";"Northeast"
"STR_288";"Urban";"Northeast"
"STR_479";"Suburban";"Midwest"
"STR_216";"Suburban";"West"
"STR_175";"Suburban";"Midwest"
"STR_097";"Urban";"Northeast"
"STR_329";"Rural";"West"
"STR_284";"Suburban";"Southeast"
"STR_178";"Urban";"Southeast"
"STR_041";"Urban";"Midwest"
"STR_250";"Urban";"Northeast"
"STR_429";"Suburban";"Southwest"
"STR_241";"Rural";"West"
"STR_410";"Suburban";"Southeast"
"STR_066";"Rural";"Southeast"
"STR_403";"Urban";"Midwest"
"STR_432";"Suburban";"Midwest"
"STR_288";"Urban";"Northeast"
"STR_041";"Urban";"Midwest"
"STR_246";"Rural";"Midwest"
"STR_313";"Urban";"Southeast"
"STR_381";"Suburban";"Southwest"
"STR_051";"Rural";"Southeast"
"STR_405";"Rural";"Southeast"
"STR_183";"Suburban";"Northeast"
"STR_142";"Urban";"Southeast"
"STR_212";"Suburban";"Midwest"
"STR_168";"Urban";"Midwest"
"STR_135";"Urban";"Midwest"
"STR_203";"Rural";"Southeast"
"STR_459";"Urban";"Southeast"
"STR_357";"Rural";"West"
"STR_400";"Rural";"West"
"STR_362";"Suburban";"Midwest"
"STR_365";"Suburban";"Midwest"
"STR_113";"Rural";"Southeast"
"STR_216";"Suburban";"West"
"STR_442";"Suburban";"West"
"STR_201";"Urban";"Southwest"
"STR_368";"Suburban";"Northeast"
"STR_070";"Suburban";"Southwest"
"STR_025";"Urban";"Northeast"
"STR_404";"Urban";"Northeast"
"STR_266";"Rural";"Midwest"
"STR_294";"Suburban";"Midwest"
"STR_255";"Suburban";"West"
"STR_184";"Suburban";"West"
"STR_296";"Urban";"Midwest"
"STR_350";"Urban";"West"
"STR_199";"Urban";"Southwest"
"STR_109";"Suburban";"West"
"STR_271";"Suburban";"West"
"STR_093";"Suburban";"Midwest"
"STR_114";"Rural";"Southwest"
"STR_037";"Urban";"West"
"STR_472";"Suburban";"Northeast"
"STR_429";"Suburban";"Southwest"
"STR_340";"Suburban";"Southwest"
"STR_486";"Rural";"Southeast"
"STR_154";"Urban";"Southeast"
"STR_336";"Rural";"Southwest"
"STR_058";"Rural";"Northeast"
"STR_254";"Suburban";"Southeast"
"STR_035";"Rural";"Midwest"
"STR_128";"Urban";"Northeast"
"STR_078";"Suburban";"Southeast"
"STR_241";"Rural";"West"
"STR_347";"Suburban";"West"
"STR_476";"Urban";"West"
"STR_111";"Suburban";"West"
"STR_212";"Suburban";"Midwest"
"STR_396";"Urban";"West"
"STR_179";"Urban";"Southeast"
"STR_163";"Rural";"Southwest"
"STR_104";"Suburban";"Southeast"
"STR_297";"Rural";"Southwest"
"STR_072";"Urban";"Southeast"
"STR_150";"Urban";"Southwest"
"STR_011";"Suburban";"Southwest"
"STR_341";"Suburban";"Southeast"
"STR_496";"Rural";"Northeast"
"STR_454";"Suburban";"Northeast"
"STR_440";"Urban";"Midwest"
"STR_385";"Rural";"Southeast"
"STR_316";"Rural";"Southwest"
"STR_160";"Rural";"Midwest"
"STR_004";"Urban";"Southwest"
"STR_422";"Urban";"Northeast"
"STR_279";"Urban";"Northeast"
"STR_079";"Suburban";"Southeast"
"STR_035";"Rural";"Midwest"
"STR_178";"Urban";"Southeast"
"STR_102";"Urban";"Southeast"
"STR_289";"Suburban";"Southwest"
"STR_462";"Rural";"Northeast"
"STR_201";"Urban";"Southwest"
"STR_378";"Suburban";"Midwest"
"STR_087";"Urban";"West"
"STR_259";"Suburban";"Southwest"
"STR_306";"Suburban";"West"
"STR_211";"Urban";"Northeast"
"STR_416";"Urban";"Southeast"
"STR_286";"Suburban";"Midwest"
"STR_291";"Urban";"Northeast"
"STR_142";"Urban";"Southeast"
"STR_208";"Urban";"West"
"STR_054";"Urban";"Southwest"
"STR_274";"Rural";"Northeast"
"STR_203";"Rural";"Southeast"
"STR_479";"Suburban";"Midwest"
"STR_035";"Rural";"Midwest"
"STR_108";"Urban";"Midwest"
"STR_335";"Rural";"Southwest"
"STR_044";"Urban";"Southeast"
"STR_439";"Urban";"West"
"STR_187";"Urban";"West"
"STR_103";"Suburban";"Midwest"
"STR_444";"Suburban";"West"
"STR_110";"Suburban";"West"
"STR_035";"Rural";"Midwest"
"STR_158";"Rural";"West"
"STR_057";"Suburban";"Southeast"
"STR_061";"Rural";"West"
"STR_033";"Rural";"Midwest"
"STR_189";"Suburban";"West"
"STR_207";"Suburban";"West"
"STR_384";"Suburban";"Southeast"
"STR_442";"Suburban";"West"
"STR_269";"Rural";"Southwest"
"STR_137";"Urban";"Southwest"
"STR_354";"Suburban";"Midwest"
"STR_287";"Suburban";"Southwest"
"STR_097";"Urban";"Northeast"
"STR_286";"Suburban";"Midwest"
"STR_194";"Suburban";"West"
"STR_246";"Rural";"Midwest"
"STR_221";"Urban";"Southeast"
"STR_151";"Suburban";"Southwest"
"STR_074";"Rural";"Southwest"
"STR_216";"Suburban";"West"
"STR_023";"Urban";"Midwest"
"STR_095";"Urban";"Midwest"
"STR_418";"Urban";"Southwest"
"STR_143";"Urban";"Southwest"
"STR_223";"Urban";"Midwest"
"STR_232";"Suburban";"Southeast"
"STR_171";"Rural";"Midwest"
"STR_005";"Suburban";"West"
"STR_048";"Urban";"Midwest"
"STR_288";"Urban";"Northeast"
"STR_033";"Rural";"Midwest"
"STR_302";"Suburban";"West"
"STR_343";"Suburban";"West"
"STR_040";"Suburban";"Southeast"
"STR_450";"Urban";"West"
"STR_227";"Rural";"Midwest"
"STR_342";"Suburban";"Southwest"
"STR_475";"Rural";"Northeast"
"STR_437";"Urban";"Southwest"
"STR_018";"Suburban";"West"
"STR_266";"Rural";"Midwest"
"STR_050";"Urban";"Midwest"
"STR_425";"Urban";"Northeast"
"STR_082";"Rural";"West"
"STR_434";"Rural";"West"
"STR_182";"Rural";"Northeast"
"STR_109";"Suburban";"West"
"STR_052";"Urban";"Southeast"
"STR_066";"Rural";"Southeast"
"STR_051";"Rural";"Southeast"
"STR_007";"Suburban";"West"
"STR_418";"Urban";"Southwest"
"STR_089";"Rural";"Southwest"
"STR_353";"Suburban";"Southwest"
"STR_311";"Suburban";"Southeast"
"STR_464";"Suburban";"West"
"STR_216";"Suburban";"West"
"STR_187";"Urban";"West"
"STR_096";"Urban";"Midwest"
"STR_026";"Rural";"Southeast"
"STR_475";"Rural";"Northeast"
"STR_010";"Urban";"Southeast"
"STR_478";"Urban";"Northeast"
"STR_454";"Suburban";"Northeast"
"STR_338";"Suburban";"Northeast"
"STR_365";"Suburban";"Midwest"
"STR_402";"Rural";"Midwest"
"STR_340";"Suburban";"Southwest"
"STR_091";"Urban";"West"
"STR_341";"Suburban";"Southeast"
"STR_292";"Rural";"Southwest"
"STR_400";"Rural";"West"
"STR_488";"Suburban";"Southwest"
"STR_346";"Suburban";"Midwest"
"STR_292";"Rural";"Southwest"
"STR_381";"Suburban";"Southwest"
"STR_056";"Rural";"Midwest"
"STR_262";"Urban";"Southeast"
"STR_345";"Urban";"Southeast"
"STR_153";"Urban";"Northeast"
"STR_093";"Suburban";"Midwest"
"STR_349";"Suburban";"Southeast"
"STR_106";"Urban";"Southwest"
"STR_323";"Urban";"West"
"STR_432";"Suburban";"Midwest"
"STR_236";"Suburban";"Southwest"
"STR_112";"Rural";"Northeast"
"STR_456";"Rural";"Southwest"
"STR_335";"Rural";"Southwest"
"STR_046";"Rural";"Midwest"
"STR_493";"Suburban";"Midwest"
"STR_310";"Urban";"Southeast"
"STR_406";"Suburban";"Midwest"
"STR_332";"Urban";"Southwest"
"STR_478";"Urban";"Northeast"
"STR_455";"Suburban";"Northeast"
"STR_304";"Suburban";"West"
"STR_167";"Urban";"Southeast"
"STR_066";"Rural";"Southeast"
"STR_275";"Rural";"West"
"STR_321";"Suburban";"West"
"STR_286";"Suburban";"Midwest"
"STR_460";"Rural";"West"
"STR_487";"Urban";"Southeast"
"STR_154";"Urban";"Southeast"
"STR_460";"Rural";"West"
"STR_479";"Suburban";"Midwest"
"STR_272";"Urban";"Southeast"
"STR_223";"Urban";"Midwest"
"STR_391";"Suburban";"Southwest"
"STR_488";"Suburban";"Southwest"
"STR_001";"Suburban";"Southwest"
"STR_308";"Rural";"West"
"STR_219";"Rural";"Midwest"
"STR_273";"Urban";"Southwest"
"STR_200";"Urban";"Northeast"
"STR_178";"Urban";"Southeast"
"STR_491";"Suburban";"Midwest"
"STR_245";"Rural";"Midwest"
"STR_197";"Rural";"West"
"STR_192";"Suburban";"Northeast"
"STR_166";"Rural";"West"
"STR_374";"Rural";"Southwest"
"STR_069";"Urban";"Northeast"
"STR_366";"Rural";"Northeast"
"STR_096";"Urban";"Midwest"
"STR_259";"Suburban";"Southwest"
"STR_302";"Suburban";"West"
"STR_292";"Rural";"Southwest"
"STR_150";"Urban";"Southwest"
"STR_352";"Rural";"West"
"STR_149";"Rural";"West"
"STR_300";"Urban";"Southwest"
"STR_451";"Urban";"West"
"STR_365";"Suburban";"Midwest"
"STR_112";"Rural";"Northeast"
"STR_311";"Suburban";"Southeast"
"STR_477";"Rural";"Midwest"
"STR_294";"Suburban";"Midwest"
"STR_272";"Urban";"Southeast"
"STR_217";"Rural";"West"
"STR_183";"Suburban";"Northeast"
"STR_328";"Urban";"West"
"STR_412";"Suburban";"West"
"STR_230";"Suburban";"Southeast"
"STR_009";"Suburban";"West"
"STR_061";"Rural";"West"
"STR_146";"Rural";"Midwest"
"STR_284";"Suburban";"Southeast"
"STR_405";"Rural";"Southeast"
"STR_404";"Urban";"Northeast"
"STR_050";"Urban";"Midwest"
"STR_134";"Urban";"West"
"STR_018";"Suburban";"West"
"STR_445";"Rural";"Southwest"
"STR_057";"Suburban";"Southeast"
"STR_455";"Suburban";"Northeast"
"STR_195";"Suburban";"West"
"STR_079";"Suburban";"Southeast"
"STR_203";"Rural";"Southeast"
"STR_251";"Urban";"West"
"STR_046";"Rural";"Midwest"
"STR_428";"Suburban";"Northeast"
"STR_221";"Urban";"Southeast"
"STR_132";"Urban";"Northeast"
"STR_260";"Urban";"Midwest"
"STR_085";"Suburban";"West"
"STR_433";"Rural";"Midwest"
"STR_175";"Suburban";"Midwest"
"STR_353";"Suburban";"Southwest"
"STR_073";"Suburban";"Southwest"
"STR_270";"Suburban";"Southeast"
"STR_095";"Urban";"Midwest"
"STR_450";"Urban";"West"
"STR_261";"Rural";"West"
"STR_352";"Rural";"West"
"STR_444";"Suburban";"West"
"STR_118";"Rural";"Southeast"
"STR_366";"Rural";"Northeast"
"STR_349";"Suburban";"Southeast"
"STR_277";"Suburban";"Northeast"
"STR_355";"Rural";"Midwest"
"STR_248";"Rural";"Southeast"
"STR_397";"Urban";"Northeast"
"STR_415";"Suburban";"Northeast"
"STR_075";"Urban";"Southwest"
"STR_149";"Rural";"West"
"STR_020";"Rural";"West"
"STR_215";"Urban";"Northeast"
"STR_101";"Urban";"Midwest"
"STR_468";"Rural";"Northeast"
"STR_253";"Suburban";"Southwest"
"STR_237";"Rural";"Southeast"
"STR_090";"Rural";"Southeast"
"STR_395";"Urban";"West"
"STR_027";"Suburban";"Southeast"
"STR_268";"Urban";"Southwest"
"STR_253";"Suburban";"Southwest"
"STR_075";"Urban";"Southwest"
"STR_413";"Suburban";"West"
"STR_317";"Suburban";"Southeast"
"STR_498";"Urban";"Northeast"
"STR_049";"Rural";"Southwest"
"STR_163";"Rural";"Southwest"
"STR_307";"Urban";"Northeast"
"STR_081";"Suburban";"Southwest"
"STR_123";"Rural";"Midwest"
"STR_213";"Rural";"Southwest"
"STR_155";"Rural";"Midwest"
"STR_434";"Rural";"West"
"STR_361";"Suburban";"Northeast"
"STR_498";"Urban";"Northeast"
"STR_187";"Urban";"West"
"STR_431";"Suburban";"Northeast"
"STR_028";"Suburban";"Southeast"
"STR_453";"Suburban";"West"
"STR_273";"Urban";"Southwest"
"STR_301";"Rural";"Northeast"
"STR_467";"Rural";"Midwest"
"STR_063";"Suburban";"Southeast"
"STR_450";"Urban";"West"
"STR_488";"Suburban";"Southwest"
"STR_205";"Rural";"Southeast"
"STR_201";"Urban";"Southwest"
"STR_386";"Urban";"Southwest"
"STR_452";"Rural";"West"
"STR_054";"Urban";"Southwest"
"STR_165";"Urban";"West"
"STR_325";"Urban";"Northeast"
"STR_335";"Rural";"Southwest"
"STR_429";"Suburban";"Southwest"
"STR_289";"Suburban";"Southwest"
"STR_378";"Suburban";"Midwest"
"STR_258";"Suburban";"West"
"STR_457";"Rural";"Northeast"
"STR_326";"Rural";"Midwest"
"STR_382";"Urban";"West"
"STR_309";"Urban";"Northeast"
"STR_178";"Urban";"Southeast"
"STR_060";"Suburban";"Northeast"
"STR_334";"Suburban";"West"
"STR_095";"Urban";"Midwest"
"STR_176";"Rural";"Northeast"
"STR_465";"Suburban";"Midwest"
"STR_152";"Suburban";"Northeast"
"STR_492";"Rural";"Northeast"
"STR_123";"Rural";"Midwest"
"STR_499";"Suburban";"Southwest"
"STR_374";"Rural";"Southwest"
"STR_482";"Rural";"Southeast"
"STR_288";"Urban";"Northeast"
"STR_096";"Urban";"Midwest"
"STR_279";"Urban";"Northeast"
"STR_380";"Suburban";"Midwest"
"STR_157";"Suburban";"Southwest"
"STR_165";"Urban";"West"
"STR_342";"Suburban";"Southwest"
"STR_274";"Rural";"Northeast"
"STR_219";"Rural";"Midwest"
"STR_214";"Suburban";"Southwest"
